,Title,Location,Area Per Sqft,Builder,Status,Price in Lakhs
8358,Residential Plot,Marsur,4000 ,J R Housing Developers,New,144.0
8359,4 BHK Apartment,Thanisandra,2427 ,Puravankara Limited,Under Construction,145.0
8360,Residential Plot,Anekal City,835 ,RBD Shelters,New,15.0
8361,1 BHK Apartment,Brookefield,739 ,Raja Housing,Under Construction,50.44
8362,2 BHK Apartment,Electronic City Phase 1,1032 ,DS-MAX Properties,Under Construction,30.96
8363,3 BHK Apartment,Krishnarajapura,1833 ,Togetherments Infra Pvt Ltd,Under Construction,128.0
8364,2 BHK Apartment,Whitefield Hope Farm Junction,1238 ,SBB Group,Under Construction,75.84
8365,4 BHK Apartment,Hebbal,3880 ,SNN Builders,Ready to move,288.0
8366,3 BHK Apartment,RR Nagar,1641 ,Navami Builders and Developers,Under Construction,115.99999999999999
8367,3 BHK Apartment,Harlur,894 ,Iconhomz,Under Construction,67.05
8368,4 BHK Apartment,Sarjapur Road Post Railway Crossing,3197 ,Mana Projects Pvt Ltd,Under Construction,256.0
8369,3 BHK Apartment,Whitefield Hope Farm Junction,973 ,Sowparnika Projects,Under Construction,42.81
8370,Residential Plot,Koramangala,2325 ,Salarpuria Sattva,New,59.86
8371,3 BHK Apartment,Attibele,1410 ,GR Constructions,Under Construction,63.32
8372,3 BHK Apartment,Kogilu,2350 ,Legacy Global Projects Pvt Ltd,Ready to move,152.0
8373,2 BHK Apartment,Jakkur,835 ,Sai Kalyan Builders and Developers Pvt Ltd,Under Construction,71.48
8374,2 BHK Apartment,Ramamurthy Nagar,986 ,Japee Consultant india Pvt,Under Construction,32.53
8375,3 BHK Apartment,Jalahalli,1605 ,Renaissance Holdings,Under Construction,112.99999999999999
8376,Residential Plot,Chikballapur,1500 ,NBR Group,New,39.42
8377,2 BHK Apartment,Kengeri,870 ,Vaastu Structures,Under Construction,39.95
8378,Residential Plot,Marsur,4000 ,J R Housing Developers,New,144.0
8379,4 BHK Apartment,Thanisandra,2427 ,Puravankara Limited,Under Construction,145.0
8380,Residential Plot,Anekal City,835 ,RBD Shelters,New,15.0
8381,1 BHK Apartment,Brookefield,739 ,Raja Housing,Under Construction,50.44
8382,2 BHK Apartment,Electronic City Phase 1,1032 ,DS-MAX Properties,Under Construction,30.96
8383,3 BHK Apartment,Krishnarajapura,1833 ,Togetherments Infra Pvt Ltd,Under Construction,128.0
8384,2 BHK Apartment,Whitefield Hope Farm Junction,1238 ,SBB Group,Under Construction,75.84
8385,4 BHK Apartment,Hebbal,3880 ,SNN Builders,Ready to move,288.0
8386,3 BHK Apartment,RR Nagar,1641 ,Navami Builders and Developers,Under Construction,115.99999999999999
8387,3 BHK Apartment,Harlur,894 ,Iconhomz,Under Construction,67.05
8388,4 BHK Apartment,Sarjapur Road Post Railway Crossing,3197 ,Mana Projects Pvt Ltd,Under Construction,256.0
8389,3 BHK Apartment,Whitefield Hope Farm Junction,973 ,Sowparnika Projects,Under Construction,42.81
8390,Residential Plot,Koramangala,2325 ,Salarpuria Sattva,New,59.86
8391,3 BHK Apartment,Attibele,1410 ,GR Constructions,Under Construction,63.32
8392,3 BHK Apartment,Kogilu,2350 ,Legacy Global Projects Pvt Ltd,Ready to move,152.0
8393,2 BHK Apartment,Jakkur,835 ,Sai Kalyan Builders and Developers Pvt Ltd,Under Construction,71.48
8394,2 BHK Apartment,Ramamurthy Nagar,986 ,Japee Consultant india Pvt,Under Construction,32.53
8395,3 BHK Apartment,Jalahalli,1605 ,Renaissance Holdings,Under Construction,112.99999999999999
8396,Residential Plot,Chikballapur,1500 ,NBR Group,New,39.42
8397,2 BHK Apartment,Kengeri,870 ,Vaastu Structures,Under Construction,39.95
8398,Residential Plot,Marsur,4000 ,J R Housing Developers,New,144.0
8399,4 BHK Apartment,Thanisandra,2427 ,Puravankara Limited,Under Construction,145.0
8400,Residential Plot,Anekal City,835 ,RBD Shelters,New,15.0
8401,1 BHK Apartment,Brookefield,739 ,Raja Housing,Under Construction,50.44
8402,2 BHK Apartment,Electronic City Phase 1,1032 ,DS-MAX Properties,Under Construction,30.96
8403,3 BHK Apartment,Krishnarajapura,1833 ,Togetherments Infra Pvt Ltd,Under Construction,128.0
8404,2 BHK Apartment,Whitefield Hope Farm Junction,1238 ,SBB Group,Under Construction,75.84
8405,4 BHK Apartment,Hebbal,3880 ,SNN Builders,Ready to move,288.0
8406,3 BHK Apartment,RR Nagar,1641 ,Navami Builders and Developers,Under Construction,115.99999999999999
8407,3 BHK Apartment,Harlur,894 ,Iconhomz,Under Construction,67.05
8408,4 BHK Apartment,Sarjapur Road Post Railway Crossing,3197 ,Mana Projects Pvt Ltd,Under Construction,256.0
8409,3 BHK Apartment,Whitefield Hope Farm Junction,973 ,Sowparnika Projects,Under Construction,42.81
8410,Residential Plot,Koramangala,2325 ,Salarpuria Sattva,New,59.86
8411,3 BHK Apartment,Attibele,1410 ,GR Constructions,Under Construction,63.32
8412,3 BHK Apartment,Kogilu,2350 ,Legacy Global Projects Pvt Ltd,Ready to move,152.0
8413,2 BHK Apartment,Jakkur,835 ,Sai Kalyan Builders and Developers Pvt Ltd,Under Construction,71.48
8414,2 BHK Apartment,Ramamurthy Nagar,986 ,Japee Consultant india Pvt,Under Construction,32.53
8415,3 BHK Apartment,Jalahalli,1605 ,Renaissance Holdings,Under Construction,112.99999999999999
8416,Residential Plot,Chikballapur,1500 ,NBR Group,New,39.42
8417,2 BHK Apartment,Kengeri,870 ,Vaastu Structures,Under Construction,39.95
8418,Residential Plot,Marsur,4000 ,J R Housing Developers,New,144.0
8419,4 BHK Apartment,Thanisandra,2427 ,Puravankara Limited,Under Construction,145.0
8420,Residential Plot,Anekal City,835 ,RBD Shelters,New,15.0
8421,1 BHK Apartment,Brookefield,739 ,Raja Housing,Under Construction,50.44
8422,2 BHK Apartment,Electronic City Phase 1,1032 ,DS-MAX Properties,Under Construction,30.96
8423,3 BHK Apartment,Krishnarajapura,1833 ,Togetherments Infra Pvt Ltd,Under Construction,128.0
8424,2 BHK Apartment,Whitefield Hope Farm Junction,1238 ,SBB Group,Under Construction,75.84
8425,4 BHK Apartment,Hebbal,3880 ,SNN Builders,Ready to move,288.0
8426,3 BHK Apartment,RR Nagar,1641 ,Navami Builders and Developers,Under Construction,115.99999999999999
8427,3 BHK Apartment,Harlur,894 ,Iconhomz,Under Construction,67.05
8428,4 BHK Apartment,Sarjapur Road Post Railway Crossing,3197 ,Mana Projects Pvt Ltd,Under Construction,256.0
8429,3 BHK Apartment,Whitefield Hope Farm Junction,973 ,Sowparnika Projects,Under Construction,42.81
8430,Residential Plot,Koramangala,2325 ,Salarpuria Sattva,New,59.86
8431,3 BHK Apartment,Attibele,1410 ,GR Constructions,Under Construction,63.32
8432,3 BHK Apartment,Kogilu,2350 ,Legacy Global Projects Pvt Ltd,Ready to move,152.0
8433,2 BHK Apartment,Jakkur,835 ,Sai Kalyan Builders and Developers Pvt Ltd,Under Construction,71.48
8434,2 BHK Apartment,Ramamurthy Nagar,986 ,Japee Consultant india Pvt,Under Construction,32.53
8435,3 BHK Apartment,Jalahalli,1605 ,Renaissance Holdings,Under Construction,112.99999999999999
8436,Residential Plot,Chikballapur,1500 ,NBR Group,New,39.42
8437,2 BHK Apartment,Kengeri,870 ,Vaastu Structures,Under Construction,39.95
8438,Residential Plot,Marsur,4000 ,J R Housing Developers,New,144.0
8439,4 BHK Apartment,Thanisandra,2427 ,Puravankara Limited,Under Construction,145.0
8440,Residential Plot,Anekal City,835 ,RBD Shelters,New,15.0
8441,1 BHK Apartment,Brookefield,739 ,Raja Housing,Under Construction,50.44
8442,2 BHK Apartment,Electronic City Phase 1,1032 ,DS-MAX Properties,Under Construction,30.96
8443,3 BHK Apartment,Krishnarajapura,1833 ,Togetherments Infra Pvt Ltd,Under Construction,128.0
8444,2 BHK Apartment,Whitefield Hope Farm Junction,1238 ,SBB Group,Under Construction,75.84
8445,4 BHK Apartment,Hebbal,3880 ,SNN Builders,Ready to move,288.0
8446,3 BHK Apartment,RR Nagar,1641 ,Navami Builders and Developers,Under Construction,115.99999999999999
8447,3 BHK Apartment,Harlur,894 ,Iconhomz,Under Construction,67.05
8448,4 BHK Apartment,Sarjapur Road Post Railway Crossing,3197 ,Mana Projects Pvt Ltd,Under Construction,256.0
8449,3 BHK Apartment,Whitefield Hope Farm Junction,973 ,Sowparnika Projects,Under Construction,42.81
8450,Residential Plot,Koramangala,2325 ,Salarpuria Sattva,New,59.86
8451,3 BHK Apartment,Attibele,1410 ,GR Constructions,Under Construction,63.32
8452,3 BHK Apartment,Kogilu,2350 ,Legacy Global Projects Pvt Ltd,Ready to move,152.0
8453,2 BHK Apartment,Jakkur,835 ,Sai Kalyan Builders and Developers Pvt Ltd,Under Construction,71.48
8454,2 BHK Apartment,Ramamurthy Nagar,986 ,Japee Consultant india Pvt,Under Construction,32.53
8455,3 BHK Apartment,Jalahalli,1605 ,Renaissance Holdings,Under Construction,112.99999999999999
8456,Residential Plot,Chikballapur,1500 ,NBR Group,New,39.42
8457,2 BHK Apartment,Kengeri,870 ,Vaastu Structures,Under Construction,39.95
8458,Residential Plot,Marsur,4000 ,J R Housing Developers,New,144.0
8459,4 BHK Apartment,Thanisandra,2427 ,Puravankara Limited,Under Construction,145.0
8460,Residential Plot,Anekal City,835 ,RBD Shelters,New,15.0
8461,1 BHK Apartment,Brookefield,739 ,Raja Housing,Under Construction,50.44
8462,2 BHK Apartment,Electronic City Phase 1,1032 ,DS-MAX Properties,Under Construction,30.96
8463,3 BHK Apartment,Krishnarajapura,1833 ,Togetherments Infra Pvt Ltd,Under Construction,128.0
8464,2 BHK Apartment,Whitefield Hope Farm Junction,1238 ,SBB Group,Under Construction,75.84
8465,4 BHK Apartment,Hebbal,3880 ,SNN Builders,Ready to move,288.0
8466,3 BHK Apartment,RR Nagar,1641 ,Navami Builders and Developers,Under Construction,115.99999999999999
8467,3 BHK Apartment,Harlur,894 ,Iconhomz,Under Construction,67.05
8468,4 BHK Apartment,Sarjapur Road Post Railway Crossing,3197 ,Mana Projects Pvt Ltd,Under Construction,256.0
8469,3 BHK Apartment,Whitefield Hope Farm Junction,973 ,Sowparnika Projects,Under Construction,42.81
8470,Residential Plot,Koramangala,2325 ,Salarpuria Sattva,New,59.86
8471,3 BHK Apartment,Attibele,1410 ,GR Constructions,Under Construction,63.32
8472,3 BHK Apartment,Kogilu,2350 ,Legacy Global Projects Pvt Ltd,Ready to move,152.0
8473,2 BHK Apartment,Jakkur,835 ,Sai Kalyan Builders and Developers Pvt Ltd,Under Construction,71.48
8474,2 BHK Apartment,Ramamurthy Nagar,986 ,Japee Consultant india Pvt,Under Construction,32.53
8475,3 BHK Apartment,Jalahalli,1605 ,Renaissance Holdings,Under Construction,112.99999999999999
8476,Residential Plot,Chikballapur,1500 ,NBR Group,New,39.42
8477,2 BHK Apartment,Kengeri,870 ,Vaastu Structures,Under Construction,39.95
8478,Residential Plot,Marsur,4000 ,J R Housing Developers,New,144.0
8479,4 BHK Apartment,Thanisandra,2427 ,Puravankara Limited,Under Construction,145.0
8480,Residential Plot,Anekal City,835 ,RBD Shelters,New,15.0
8481,1 BHK Apartment,Brookefield,739 ,Raja Housing,Under Construction,50.44
8482,2 BHK Apartment,Electronic City Phase 1,1032 ,DS-MAX Properties,Under Construction,30.96
8483,3 BHK Apartment,Krishnarajapura,1833 ,Togetherments Infra Pvt Ltd,Under Construction,128.0
8484,2 BHK Apartment,Whitefield Hope Farm Junction,1238 ,SBB Group,Under Construction,75.84
8485,4 BHK Apartment,Hebbal,3880 ,SNN Builders,Ready to move,288.0
8486,3 BHK Apartment,RR Nagar,1641 ,Navami Builders and Developers,Under Construction,115.99999999999999
8487,3 BHK Apartment,Harlur,894 ,Iconhomz,Under Construction,67.05
8488,4 BHK Apartment,Sarjapur Road Post Railway Crossing,3197 ,Mana Projects Pvt Ltd,Under Construction,256.0
8489,3 BHK Apartment,Whitefield Hope Farm Junction,973 ,Sowparnika Projects,Under Construction,42.81
8490,Residential Plot,Koramangala,2325 ,Salarpuria Sattva,New,59.86
8491,3 BHK Apartment,Attibele,1410 ,GR Constructions,Under Construction,63.32
8492,3 BHK Apartment,Kogilu,2350 ,Legacy Global Projects Pvt Ltd,Ready to move,152.0
8493,2 BHK Apartment,Jakkur,835 ,Sai Kalyan Builders and Developers Pvt Ltd,Under Construction,71.48
8494,2 BHK Apartment,Ramamurthy Nagar,986 ,Japee Consultant india Pvt,Under Construction,32.53
8495,3 BHK Apartment,Jalahalli,1605 ,Renaissance Holdings,Under Construction,112.99999999999999
8496,Residential Plot,Chikballapur,1500 ,NBR Group,New,39.42
8497,2 BHK Apartment,Kengeri,870 ,Vaastu Structures,Under Construction,39.95
8498,Residential Plot,Marsur,4000 ,J R Housing Developers,New,144.0
8499,4 BHK Apartment,Thanisandra,2427 ,Puravankara Limited,Under Construction,145.0
8500,Residential Plot,Anekal City,835 ,RBD Shelters,New,15.0
8501,1 BHK Apartment,Brookefield,739 ,Raja Housing,Under Construction,50.44
8502,2 BHK Apartment,Electronic City Phase 1,1032 ,DS-MAX Properties,Under Construction,30.96
8503,3 BHK Apartment,Krishnarajapura,1833 ,Togetherments Infra Pvt Ltd,Under Construction,128.0
8504,2 BHK Apartment,Whitefield Hope Farm Junction,1238 ,SBB Group,Under Construction,75.84
8505,4 BHK Apartment,Hebbal,3880 ,SNN Builders,Ready to move,288.0
8506,3 BHK Apartment,RR Nagar,1641 ,Navami Builders and Developers,Under Construction,115.99999999999999
8507,3 BHK Apartment,Harlur,894 ,Iconhomz,Under Construction,67.05
8508,4 BHK Apartment,Sarjapur Road Post Railway Crossing,3197 ,Mana Projects Pvt Ltd,Under Construction,256.0
8509,3 BHK Apartment,Whitefield Hope Farm Junction,973 ,Sowparnika Projects,Under Construction,42.81
8510,Residential Plot,Koramangala,2325 ,Salarpuria Sattva,New,59.86
8511,3 BHK Apartment,Attibele,1410 ,GR Constructions,Under Construction,63.32
8512,3 BHK Apartment,Kogilu,2350 ,Legacy Global Projects Pvt Ltd,Ready to move,152.0
8513,2 BHK Apartment,Jakkur,835 ,Sai Kalyan Builders and Developers Pvt Ltd,Under Construction,71.48
8514,2 BHK Apartment,Ramamurthy Nagar,986 ,Japee Consultant india Pvt,Under Construction,32.53
8515,3 BHK Apartment,Jalahalli,1605 ,Renaissance Holdings,Under Construction,112.99999999999999
8516,Residential Plot,Chikballapur,1500 ,NBR Group,New,39.42
8517,2 BHK Apartment,Kengeri,870 ,Vaastu Structures,Under Construction,39.95
8518,Residential Plot,Marsur,4000 ,J R Housing Developers,New,144.0
8519,4 BHK Apartment,Thanisandra,2427 ,Puravankara Limited,Under Construction,145.0
8520,Residential Plot,Anekal City,835 ,RBD Shelters,New,15.0
8521,1 BHK Apartment,Brookefield,739 ,Raja Housing,Under Construction,50.44
8522,2 BHK Apartment,Electronic City Phase 1,1032 ,DS-MAX Properties,Under Construction,30.96
8523,3 BHK Apartment,Krishnarajapura,1833 ,Togetherments Infra Pvt Ltd,Under Construction,128.0
8524,2 BHK Apartment,Whitefield Hope Farm Junction,1238 ,SBB Group,Under Construction,75.84
8525,4 BHK Apartment,Hebbal,3880 ,SNN Builders,Ready to move,288.0
8526,3 BHK Apartment,RR Nagar,1641 ,Navami Builders and Developers,Under Construction,115.99999999999999
8527,3 BHK Apartment,Harlur,894 ,Iconhomz,Under Construction,67.05
8528,4 BHK Apartment,Sarjapur Road Post Railway Crossing,3197 ,Mana Projects Pvt Ltd,Under Construction,256.0
8529,3 BHK Apartment,Whitefield Hope Farm Junction,973 ,Sowparnika Projects,Under Construction,42.81
8530,Residential Plot,Koramangala,2325 ,Salarpuria Sattva,New,59.86
8531,3 BHK Apartment,Attibele,1410 ,GR Constructions,Under Construction,63.32
8532,3 BHK Apartment,Kogilu,2350 ,Legacy Global Projects Pvt Ltd,Ready to move,152.0
8533,2 BHK Apartment,Jakkur,835 ,Sai Kalyan Builders and Developers Pvt Ltd,Under Construction,71.48
8534,2 BHK Apartment,Ramamurthy Nagar,986 ,Japee Consultant india Pvt,Under Construction,32.53
8535,3 BHK Apartment,Jalahalli,1605 ,Renaissance Holdings,Under Construction,112.99999999999999
8536,Residential Plot,Chikballapur,1500 ,NBR Group,New,39.42
8537,2 BHK Apartment,Kengeri,870 ,Vaastu Structures,Under Construction,39.95
8538,Residential Plot,Marsur,4000 ,J R Housing Developers,New,144.0
8539,4 BHK Apartment,Thanisandra,2427 ,Puravankara Limited,Under Construction,145.0
8540,Residential Plot,Anekal City,835 ,RBD Shelters,New,15.0
8541,1 BHK Apartment,Brookefield,739 ,Raja Housing,Under Construction,50.44
8542,2 BHK Apartment,Electronic City Phase 1,1032 ,DS-MAX Properties,Under Construction,30.96
8543,3 BHK Apartment,Krishnarajapura,1833 ,Togetherments Infra Pvt Ltd,Under Construction,128.0
8544,2 BHK Apartment,Whitefield Hope Farm Junction,1238 ,SBB Group,Under Construction,75.84
8545,4 BHK Apartment,Hebbal,3880 ,SNN Builders,Ready to move,288.0
8546,3 BHK Apartment,RR Nagar,1641 ,Navami Builders and Developers,Under Construction,115.99999999999999
8547,3 BHK Apartment,Harlur,894 ,Iconhomz,Under Construction,67.05
8548,4 BHK Apartment,Sarjapur Road Post Railway Crossing,3197 ,Mana Projects Pvt Ltd,Under Construction,256.0
8549,3 BHK Apartment,Whitefield Hope Farm Junction,973 ,Sowparnika Projects,Under Construction,42.81
8550,Residential Plot,Koramangala,2325 ,Salarpuria Sattva,New,59.86
8551,3 BHK Apartment,Attibele,1410 ,GR Constructions,Under Construction,63.32
8552,3 BHK Apartment,Kogilu,2350 ,Legacy Global Projects Pvt Ltd,Ready to move,152.0
8553,2 BHK Apartment,Jakkur,835 ,Sai Kalyan Builders and Developers Pvt Ltd,Under Construction,71.48
8554,2 BHK Apartment,Ramamurthy Nagar,986 ,Japee Consultant india Pvt,Under Construction,32.53
8555,3 BHK Apartment,Jalahalli,1605 ,Renaissance Holdings,Under Construction,112.99999999999999
8556,Residential Plot,Chikballapur,1500 ,NBR Group,New,39.42
8557,2 BHK Apartment,Kengeri,870 ,Vaastu Structures,Under Construction,39.95
8558,Residential Plot,Marsur,4000 ,J R Housing Developers,New,144.0
8559,4 BHK Apartment,Thanisandra,2427 ,Puravankara Limited,Under Construction,145.0
8560,Residential Plot,Anekal City,835 ,RBD Shelters,New,15.0
8561,1 BHK Apartment,Brookefield,739 ,Raja Housing,Under Construction,50.44
8562,2 BHK Apartment,Electronic City Phase 1,1032 ,DS-MAX Properties,Under Construction,30.96
8563,3 BHK Apartment,Krishnarajapura,1833 ,Togetherments Infra Pvt Ltd,Under Construction,128.0
8564,2 BHK Apartment,Whitefield Hope Farm Junction,1238 ,SBB Group,Under Construction,75.84
8565,4 BHK Apartment,Hebbal,3880 ,SNN Builders,Ready to move,288.0
8566,3 BHK Apartment,RR Nagar,1641 ,Navami Builders and Developers,Under Construction,115.99999999999999
8567,3 BHK Apartment,Harlur,894 ,Iconhomz,Under Construction,67.05
8568,4 BHK Apartment,Sarjapur Road Post Railway Crossing,3197 ,Mana Projects Pvt Ltd,Under Construction,256.0
8569,3 BHK Apartment,Whitefield Hope Farm Junction,973 ,Sowparnika Projects,Under Construction,42.81
8570,Residential Plot,Koramangala,2325 ,Salarpuria Sattva,New,59.86
8571,3 BHK Apartment,Attibele,1410 ,GR Constructions,Under Construction,63.32
8572,3 BHK Apartment,Kogilu,2350 ,Legacy Global Projects Pvt Ltd,Ready to move,152.0
8573,2 BHK Apartment,Jakkur,835 ,Sai Kalyan Builders and Developers Pvt Ltd,Under Construction,71.48
8574,2 BHK Apartment,Ramamurthy Nagar,986 ,Japee Consultant india Pvt,Under Construction,32.53
8575,3 BHK Apartment,Jalahalli,1605 ,Renaissance Holdings,Under Construction,112.99999999999999
8576,Residential Plot,Chikballapur,1500 ,NBR Group,New,39.42
8577,2 BHK Apartment,Kengeri,870 ,Vaastu Structures,Under Construction,39.95
8578,Residential Plot,Marsur,4000 ,J R Housing Developers,New,144.0
8579,4 BHK Apartment,Thanisandra,2427 ,Puravankara Limited,Under Construction,145.0
8580,Residential Plot,Anekal City,835 ,RBD Shelters,New,15.0
8581,1 BHK Apartment,Brookefield,739 ,Raja Housing,Under Construction,50.44
8582,2 BHK Apartment,Electronic City Phase 1,1032 ,DS-MAX Properties,Under Construction,30.96
8583,3 BHK Apartment,Krishnarajapura,1833 ,Togetherments Infra Pvt Ltd,Under Construction,128.0
8584,2 BHK Apartment,Whitefield Hope Farm Junction,1238 ,SBB Group,Under Construction,75.84
8585,4 BHK Apartment,Hebbal,3880 ,SNN Builders,Ready to move,288.0
8586,3 BHK Apartment,RR Nagar,1641 ,Navami Builders and Developers,Under Construction,115.99999999999999
8587,3 BHK Apartment,Harlur,894 ,Iconhomz,Under Construction,67.05
8588,4 BHK Apartment,Sarjapur Road Post Railway Crossing,3197 ,Mana Projects Pvt Ltd,Under Construction,256.0
8589,3 BHK Apartment,Whitefield Hope Farm Junction,973 ,Sowparnika Projects,Under Construction,42.81
8590,Residential Plot,Koramangala,2325 ,Salarpuria Sattva,New,59.86
8591,3 BHK Apartment,Attibele,1410 ,GR Constructions,Under Construction,63.32
8592,3 BHK Apartment,Kogilu,2350 ,Legacy Global Projects Pvt Ltd,Ready to move,152.0
8593,2 BHK Apartment,Jakkur,835 ,Sai Kalyan Builders and Developers Pvt Ltd,Under Construction,71.48
8594,2 BHK Apartment,Ramamurthy Nagar,986 ,Japee Consultant india Pvt,Under Construction,32.53
8595,3 BHK Apartment,Jalahalli,1605 ,Renaissance Holdings,Under Construction,112.99999999999999
8596,Residential Plot,Chikballapur,1500 ,NBR Group,New,39.42
8597,2 BHK Apartment,Kengeri,870 ,Vaastu Structures,Under Construction,39.95
8598,Residential Plot,Marsur,4000 ,J R Housing Developers,New,144.0
8599,4 BHK Apartment,Thanisandra,2427 ,Puravankara Limited,Under Construction,145.0
8600,Residential Plot,Anekal City,835 ,RBD Shelters,New,15.0
8601,1 BHK Apartment,Brookefield,739 ,Raja Housing,Under Construction,50.44
8602,2 BHK Apartment,Electronic City Phase 1,1032 ,DS-MAX Properties,Under Construction,30.96
8603,3 BHK Apartment,Krishnarajapura,1833 ,Togetherments Infra Pvt Ltd,Under Construction,128.0
8604,2 BHK Apartment,Whitefield Hope Farm Junction,1238 ,SBB Group,Under Construction,75.84
8605,4 BHK Apartment,Hebbal,3880 ,SNN Builders,Ready to move,288.0
8606,3 BHK Apartment,RR Nagar,1641 ,Navami Builders and Developers,Under Construction,115.99999999999999
8607,3 BHK Apartment,Harlur,894 ,Iconhomz,Under Construction,67.05
8608,4 BHK Apartment,Sarjapur Road Post Railway Crossing,3197 ,Mana Projects Pvt Ltd,Under Construction,256.0
8609,3 BHK Apartment,Whitefield Hope Farm Junction,973 ,Sowparnika Projects,Under Construction,42.81
8610,Residential Plot,Koramangala,2325 ,Salarpuria Sattva,New,59.86
8611,3 BHK Apartment,Attibele,1410 ,GR Constructions,Under Construction,63.32
8612,3 BHK Apartment,Kogilu,2350 ,Legacy Global Projects Pvt Ltd,Ready to move,152.0
8613,2 BHK Apartment,Jakkur,835 ,Sai Kalyan Builders and Developers Pvt Ltd,Under Construction,71.48
8614,2 BHK Apartment,Ramamurthy Nagar,986 ,Japee Consultant india Pvt,Under Construction,32.53
8615,3 BHK Apartment,Jalahalli,1605 ,Renaissance Holdings,Under Construction,112.99999999999999
8616,Residential Plot,Chikballapur,1500 ,NBR Group,New,39.42
8617,2 BHK Apartment,Kengeri,870 ,Vaastu Structures,Under Construction,39.95
8618,Residential Plot,Marsur,4000 ,J R Housing Developers,New,144.0
8619,4 BHK Apartment,Thanisandra,2427 ,Puravankara Limited,Under Construction,145.0
8620,Residential Plot,Anekal City,835 ,RBD Shelters,New,15.0
8621,1 BHK Apartment,Brookefield,739 ,Raja Housing,Under Construction,50.44
8622,2 BHK Apartment,Electronic City Phase 1,1032 ,DS-MAX Properties,Under Construction,30.96
8623,3 BHK Apartment,Krishnarajapura,1833 ,Togetherments Infra Pvt Ltd,Under Construction,128.0
8624,2 BHK Apartment,Whitefield Hope Farm Junction,1238 ,SBB Group,Under Construction,75.84
8625,4 BHK Apartment,Hebbal,3880 ,SNN Builders,Ready to move,288.0
8626,3 BHK Apartment,RR Nagar,1641 ,Navami Builders and Developers,Under Construction,115.99999999999999
8627,3 BHK Apartment,Harlur,894 ,Iconhomz,Under Construction,67.05
8628,4 BHK Apartment,Sarjapur Road Post Railway Crossing,3197 ,Mana Projects Pvt Ltd,Under Construction,256.0
8629,3 BHK Apartment,Whitefield Hope Farm Junction,973 ,Sowparnika Projects,Under Construction,42.81
8630,Residential Plot,Koramangala,2325 ,Salarpuria Sattva,New,59.86
8631,3 BHK Apartment,Attibele,1410 ,GR Constructions,Under Construction,63.32
8632,3 BHK Apartment,Kogilu,2350 ,Legacy Global Projects Pvt Ltd,Ready to move,152.0
8633,2 BHK Apartment,Jakkur,835 ,Sai Kalyan Builders and Developers Pvt Ltd,Under Construction,71.48
8634,2 BHK Apartment,Ramamurthy Nagar,986 ,Japee Consultant india Pvt,Under Construction,32.53
8635,3 BHK Apartment,Jalahalli,1605 ,Renaissance Holdings,Under Construction,112.99999999999999
8636,Residential Plot,Chikballapur,1500 ,NBR Group,New,39.42
8637,2 BHK Apartment,Kengeri,870 ,Vaastu Structures,Under Construction,39.95
8638,Residential Plot,Marsur,4000 ,J R Housing Developers,New,144.0
8639,4 BHK Apartment,Thanisandra,2427 ,Puravankara Limited,Under Construction,145.0
8640,Residential Plot,Anekal City,835 ,RBD Shelters,New,15.0
8641,1 BHK Apartment,Brookefield,739 ,Raja Housing,Under Construction,50.44
8642,2 BHK Apartment,Electronic City Phase 1,1032 ,DS-MAX Properties,Under Construction,30.96
8643,3 BHK Apartment,Krishnarajapura,1833 ,Togetherments Infra Pvt Ltd,Under Construction,128.0
8644,2 BHK Apartment,Whitefield Hope Farm Junction,1238 ,SBB Group,Under Construction,75.84
8645,4 BHK Apartment,Hebbal,3880 ,SNN Builders,Ready to move,288.0
8646,3 BHK Apartment,RR Nagar,1641 ,Navami Builders and Developers,Under Construction,115.99999999999999
8647,3 BHK Apartment,Harlur,894 ,Iconhomz,Under Construction,67.05
8648,4 BHK Apartment,Sarjapur Road Post Railway Crossing,3197 ,Mana Projects Pvt Ltd,Under Construction,256.0
8649,3 BHK Apartment,Whitefield Hope Farm Junction,973 ,Sowparnika Projects,Under Construction,42.81
8650,Residential Plot,Koramangala,2325 ,Salarpuria Sattva,New,59.86
8651,3 BHK Apartment,Attibele,1410 ,GR Constructions,Under Construction,63.32
8652,3 BHK Apartment,Kogilu,2350 ,Legacy Global Projects Pvt Ltd,Ready to move,152.0
8653,2 BHK Apartment,Jakkur,835 ,Sai Kalyan Builders and Developers Pvt Ltd,Under Construction,71.48
8654,2 BHK Apartment,Ramamurthy Nagar,986 ,Japee Consultant india Pvt,Under Construction,32.53
8655,3 BHK Apartment,Jalahalli,1605 ,Renaissance Holdings,Under Construction,112.99999999999999
8656,Residential Plot,Chikballapur,1500 ,NBR Group,New,39.42
8657,2 BHK Apartment,Kengeri,870 ,Vaastu Structures,Under Construction,39.95
8658,Residential Plot,Marsur,4000 ,J R Housing Developers,New,144.0
8659,4 BHK Apartment,Thanisandra,2427 ,Puravankara Limited,Under Construction,145.0
8660,Residential Plot,Anekal City,835 ,RBD Shelters,New,15.0
8661,1 BHK Apartment,Brookefield,739 ,Raja Housing,Under Construction,50.44
8662,2 BHK Apartment,Electronic City Phase 1,1032 ,DS-MAX Properties,Under Construction,30.96
8663,3 BHK Apartment,Krishnarajapura,1833 ,Togetherments Infra Pvt Ltd,Under Construction,128.0
